id,station_name,altitude,coord_lng,coord_lat
"ARO","Arosa","1878",2771031,1184830
"RAG","Bad Ragaz","497",2756911,1209351
"HAI","Salen-Reutenen","719",2719100,1279047
"HLL","Hallau","419",2677457,1283472
"DEM","Delémont","439",2593270,1244543
"EBK","Ebnat-Kappel","623",2726348,1237176
"ELM","Elm","958",2732266,1198424
"EIN","Einsiedeln","911",2699984,1221068
"ANT","Andermatt","1435",2687445,1165044
"MER","Meiringen","589",2655844,1175930
"CHD","Château-d'Oex","1028",2577040,1147655
"GRA","Fribourg / Grangeneuve","651",2575184,1180076
"CHM","Chaumont","1136",2565060,1211007
"LAG","Langnau i.E.","744",2628004,1198793
"KOP","Koppigen","485",2612663,1218665
"GRC","Grächen","1605",2630738,1116062
"BLA","Blatten, Lötschental","1538",2629564,1141084
"GRO","Grono","324",2733018,1124089
"BEH","Passo del Bernina","2260",2798423,1143020
"SIA","Segl-Maria","1804",2778576,1144976
"SMM","Sta. Maria, Val Müstair","1386",2828862,1165580
"DAV","Davos","1594",2783519,1187459
"CHU","Chur","557",2759489,1193182
"ROB","Poschiavo / Robbia","1078",2801994,1136249
"SAM","Samedan","1709",2787251,1155685
"SCU","Scuol","1304",2817139,1186393
"DOL","La Dôle","1670",2497059,1142373
"PAY","Payerne","490",2562131,1184612
"JUN","Jungfraujoch","3571",2641939,1155287
"WYN","Wynau","422",2626405,1233849
"SAE","Säntis","2501",2744188,1234920
"VAD","Vaduz","457",2757724,1221699
"AIG","Aigle","381",2560404,1130713
"MLS","Le Moléson","1974",2567718,1155077
"FAH","Fahy","596",2562465,1252676
"MVE","Montana","1423",2601709,1127489
"ZER","Zermatt","1638",2624298,1097574
"CHA","Chasseral","1594",2570845,1220158
"PIL","Pilatus","2105",2661905,1203410
"ALT","Altdorf","438",2690181,1193564
"ULR","Ulrichen","1346",2666748,1150767
"PIO","Piotta","990",2695881,1152264
"LUG","Lugano","273",2717874,1095883
"NAP","Napf","1404",2638137,1206079
"SIO","Sion","482",2591633,1118584
"MAG","Magadino / Cadenazzo","203",2715480,1113161
"NEU","Neuchâtel","485",2563087,1205560
"SBO","Stabio","351",2716049,1077972
"INT","Interlaken","577",2633023,1169092
"DIS","Disentis","1197",2708191,1173793
"STG","St. Gallen","776",2747866,1254588
"GLA","Glarus","517",2723757,1210567
"GVE","Genève / Cointrin","411",2498904,1122632
"KLO","Zürich / Kloten","426",2682711,1259339
"GUE","Gütsch, Andermatt","2286",2690087,1167480
"PUY","Pully","456",2540819,1151511
"GSB","Col du Grand St-Bernard","2472",2579191,1079754
"ABO","Adelboden","1321",2609372,1148939
"VIS","Visp","639",2631151,1128024
"CDF","La Chaux-de-Fonds","1017",2550919,1214862
"RUE","Rünenberg","611",2633253,1253846
"BUS","Buchs / Aarau","387",2648396,1248370
"LUZ","Luzern","454",2665545,1209850
"ENG","Engelberg","1036",2674162,1186069
"SHA","Schaffhausen","438",2688704,1282803
"SMA","Zürich / Fluntern","556",2685118,1248066
"SBE","S. Bernardino","1639",2734116,1147294
"WFJ","Weissfluhjoch","2691",2780616,1189634
"COV","Piz Corvatsch","3294",2783156,1143524
"BAS","Basel / Binningen","316",2610909,1265612
"CGI","Nyon / Changins","458",2506878,1139574
"FRE","Bullet / La Frétaz","1205",2534225,1188082
"BER","Bern / Zollikofen","553",2601934,1204410
"GUT","Güttingen","440",2738423,1273962
"GOE","Gösgen","380",2640422,1245949
"WAE","Wädenswil","485",2693848,1230744
"TAE","Aadorf / Tänikon","539",2710518,1259824
"REH","Zürich / Affoltern","444",2681433,1253548
"OTL","Locarno / Monti","367",2704167,1114316
"BEZ","Beznau","326",2659813,1267696
"MUB","Mühleberg","480",2587793,1202480
"CIM","Cimetta","1661",2704434,1117457
"EVO","Evolène / Villa","1825",2605412,1106748
"LEI","Leibstadt","341",2656375,1272122
"GRH","Grimsel Hospiz","1980",2668583,1158215
"COM","Acquarossa / Comprovasco","575",2714985,1146451
"LAE","Lägern","845",2672251,1259460
"HOE","Hörnli","1133",2713517,1247756
"PLF","Plaffeien","1042",2586828,1177407
